feature,importance
amount_to_baseline_ratio,0.37903921379194844
amount_gbp,0.2581589061131885
is_high_risk_merchant,0.12706184800247128
is_late_night,0.07121343213708607
merchant_category_crypto_exchange,0.04301437076220721
merchant_category_money_service_business,0.029930393673116052
user_baseline_amount,0.027716635250574818
merchant_category_gambling,0.024425550017515642
is_high_risk_geography,0.007129409342426206
geography_UK,0.004407307961194088
is_new_account_tx,0.004298731344096541
merchant_category_entertainment,0.0031863253825514005
merchant_category_subscriptions,0.003179966194957188
merchant_category_transport,0.00259669904609546
merchant_category_retail,0.002106566972400631
geography_UAE,0.0017520620064100038
merchant_category_groceries,0.0016171684676254293
merchant_category_utilities,0.0016077221693569868
merchant_category_travel,0.0014875289729058625
merchant_category_health,0.001191450020768771
geography_Nigeria,0.0011217559492102598
geography_Cyprus,0.000887314769818045
merchant_category_dining,0.0008544913150567896
geography_EU,0.0003641502153140606
velocity_count_1h,0.0003211091207156466
transaction_type_bank_transfer,0.00029099025008590053
transaction_type_card_payment,0.0002801471971741587
transaction_type_direct_debit,0.00023987215273732663
transaction_type_atm_withdrawal,0.00020995807856288306
transaction_type_p2p_payment,0.00019750713893349048
geography_US,0.00011141618349475606
is_round_amount,0.0
